"id","title","author","url","status","open_time","close_time","reviewers"
"11993","[Fiber] Add more life-cycles","sebmarkbage","https://github.com/facebook/react/pull/8015","Merged","19/10/2016 08:33:31",,"[""gaearon"", ""acdlite""]"
"11994","[Fiber] Add unit tests for ReactDOMFiber","koba04","https://github.com/facebook/react/pull/8016","Merged","19/10/2016 11:12:38",,"[""sebmarkbage"", ""gaearon""]"
"11995","Refactor precacheChildNodes slightly","eoin","https://github.com/facebook/react/pull/8018","Merged","19/10/2016 14:42:40",,"[]"
"11996","Fix captured/bubbled in ReactNativeTreeTraversal","sophiebits","https://github.com/facebook/react/pull/8019","Merged","19/10/2016 20:36:21",,"[]"
"11997","Remove jQuery in tutorial, keep jQuery for reference","joeyyang","https://github.com/facebook/react/pull/802","Closed","4/1/2014 04:59:31",,"[]"
"11998","Correctly render placeholder for textarea in IE11","aweary","https://github.com/facebook/react/pull/8020","Merged","19/10/2016 21:32:25",,"[""sophiebits""]"
"11999","Add Flow annotations for ReactInputSelection.js","cmatheson","https://github.com/facebook/react/pull/8024","Closed","20/10/2016 08:40:25",,"[""aweary""]"
"12000","Getting new-docs ready for launch","lacker","https://github.com/facebook/react/pull/8027","Merged","20/10/2016 23:13:19",,"[""gaearon""]"
"12001","[Fiber] Don't call componentDidUpdate if shouldComponentUpdate returns false","sebmarkbage","https://github.com/facebook/react/pull/8028","Merged","21/10/2016 03:10:49",,"[""sophiebits""]"
"12002","Quick fix to the return top level problem","sebmarkbage","https://github.com/facebook/react/pull/8029","Merged","21/10/2016 03:55:13",,"[]"
"12003","Use proper window object for iframe in enter/leave","sophiebits","https://github.com/facebook/react/pull/803","Merged","4/1/2014 05:44:13",,"[]"
"12004","ReactEventListener.findParent null-safe parentNode handling","Ragnaroek","https://github.com/facebook/react/pull/8032","Closed","21/10/2016 08:30:29",,"[]"
"12005","Add Fiber Debugger","gaearon","https://github.com/facebook/react/pull/8033","Merged","21/10/2016 19:50:12",,"[""sebmarkbage""]"
"12006","fix yaml redirect syntax","lacker","https://github.com/facebook/react/pull/8036","Closed","21/10/2016 21:00:34",,"[]"
"12007","Update website on Travis when only new files are added","sophiebits","https://github.com/facebook/react/pull/8037","Merged","21/10/2016 21:36:05",,"[]"
"12008","Wrong library name reference in tutorial.MD","mbeaudru","https://github.com/facebook/react/pull/8038","Merged","21/10/2016 21:45:26",,"[]"
"12009","Convert the Number component to ListItem","rthor","https://github.com/facebook/react/pull/8039","Merged","21/10/2016 21:51:27",,"[]"
"12010","Remove mentions of browserify in examples","sophiebits","https://github.com/facebook/react/pull/804","Merged","4/1/2014 05:58:40",,"[]"
"12011","Fix anchor link for displayName","CodyReichert","https://github.com/facebook/react/pull/8040","Merged","21/10/2016 22:39:56",,"[]"
"12012","Fix relative link in Hello World","sebmarkbage","https://github.com/facebook/react/pull/8041","Merged","21/10/2016 22:56:20",,"[""gaearon""]"
"12013","Fix erroneous '}' in JSX examples","nhardy","https://github.com/facebook/react/pull/8043","Merged","22/10/2016 02:10:40",,"[]"
"12014","Fix typo","ssonal","https://github.com/facebook/react/pull/8044","Closed","22/10/2016 02:50:39",,"[]"
"12015","Fix typo in new tutorial code","dittos","https://github.com/facebook/react/pull/8045","Merged","22/10/2016 05:46:19",,"[]"
"12016","Fix for typos in tutorial sample code","jasongrlicky","https://github.com/facebook/react/pull/8046","Merged","22/10/2016 06:30:30",,"[]"
"12017","Fix typo in tutorial.md","tae-jun","https://github.com/facebook/react/pull/8047","Merged","22/10/2016 06:48:33",,"[]"
"12018","Fix illogical code in tutorial.md","tae-jun","https://github.com/facebook/react/pull/8048","Merged","22/10/2016 15:13:41",,"[]"
"12019","Fix: updated with new docs links","avnash","https://github.com/facebook/react/pull/8049","Merged","22/10/2016 15:40:38",,"[]"
"12020","Mention react-art where we talk about SVG","sophiebits","https://github.com/facebook/react/pull/805","Merged","4/1/2014 06:16:22",,"[]"
"12021","Remove unused injectComponentClasses and tagToComponentClass","diegomura","https://github.com/facebook/react/pull/8050","Merged","22/10/2016 17:29:22",,"[]"
